psi,theta,K,h
-0.01,0.40982413,0.25235423,0.01
-0.02,0.40982327,0.24542607,0.02
-0.03,0.4098224,0.23712626,0.03
-0.04,0.40982145,0.22767279,0.04
-0.05,0.4098205,0.21735731,0.05
-0.060000000000000005,0.40981948,0.20648581,0.060000000000000005
-0.06999999999999999,0.4098184,0.1953471,0.06999999999999999
-0.08,0.4098173,0.18419361,0.08
-0.09,0.40981615,0.17323169,0.09
-0.09999999999999999,0.40981495,0.16261967,0.09999999999999999
-0.11,0.4098137,0.15247035,0.11
-0.12,0.40981245,0.14285718,0.12
-0.13,0.40981108,0.1338211,0.13
-0.14,0.40980974,0.12537776,0.14
-0.15000000000000002,0.40980834,0.11752398,0.15000000000000002
-0.16,0.4098069,0.11024323,0.16
-0.17,0.40980545,0.10351006,0.17
-0.18000000000000002,0.40980393,0.09729357,0.18000000000000002
-0.19,0.40980238,0.09155998,0.19
-0.2,0.40980083,0.08627447,0.2
-0.21000000000000002,0.40979922,0.08140249,0.21000000000000002
-0.22,0.40979755,0.07691064,0.22
-0.23,0.4097959,0.072767206,0.23
-0.24000000000000002,0.40979415,0.06894249,0.24000000000000002
-0.25,0.40979242,0.06540886,0.25
-0.26,0.4097907,0.06214094,0.26
-0.27,0.40978885,0.05911546,0.27
-0.28,0.409787,0.056311138,0.28
-0.29000000000000004,0.40978512,0.053708702,0.29000000000000004
-0.3,0.4097832,0.051290557,0.3
-0.31,0.40978128,0.04904082,0.31
-0.32,0.4097793,0.046945047,0.32
-0.33,0.40977728,0.044990238,0.33
-0.34,0.40977526,0.04316454,0.34
-0.35000000000000003,0.4097732,0.0414573,0.35000000000000003
-0.36000000000000004,0.40977108,0.0398588,0.36000000000000004
-0.37,0.40976894,0.038360275,0.37
-0.38,0.40976676,0.03695378,0.38
-0.39,0.4097646,0.03563207,0.39
-0.4,0.40976232,0.034388572,0.4
-0.41000000000000003,0.40976006,0.03321735,0.41000000000000003
-0.42000000000000004,0.40975773,0.032112963,0.42000000000000004
-0.43,0.4097554,0.031070443,0.43
-0.44,0.40975305,0.030085301,0.44
-0.45,0.40975064,0.02915343,0.45
-0.46,0.4097482,0.028270997,0.46
-0.47000000000000003,0.40974575,0.027434621,0.47000000000000003
-0.48000000000000004,0.40974325,0.026641117,0.48000000000000004
-0.49,0.40974075,0.025887558,0.49
-0.5,0.40973818,0.02517133,0.5
-0.51,0.40973562,0.02448995,0.51
-0.52,0.40973297,0.023841182,0.52
