psi,theta
-0.01,0.40982413
-0.02,0.40982327
-0.03,0.4098224
-0.04,0.40982145
-0.05,0.4098205
-0.060000000000000005,0.40981948
-0.06999999999999999,0.4098184
-0.08,0.4098173
-0.09,0.40981615
-0.09999999999999999,0.40981495
-0.11,0.4098137
-0.12,0.40981245
-0.13,0.40981108
-0.14,0.40980974
-0.15000000000000002,0.40980834
-0.16,0.4098069
-0.17,0.40980545
-0.18000000000000002,0.40980393
-0.19,0.40980238
-0.2,0.40980083
-0.21000000000000002,0.40979922
-0.22,0.40979755
-0.23,0.4097959
-0.24000000000000002,0.40979415
-0.25,0.40979242
-0.26,0.4097907
-0.27,0.40978885
-0.28,0.409787
-0.29000000000000004,0.40978512
-0.3,0.4097832
-0.31,0.40978128
-0.32,0.4097793
-0.33,0.40977728
-0.34,0.40977526
-0.35000000000000003,0.4097732
-0.36000000000000004,0.40977108
-0.37,0.40976894
-0.38,0.40976676
-0.39,0.4097646
-0.4,0.40976232
-0.41000000000000003,0.40976006
-0.42000000000000004,0.40975773
-0.43,0.4097554
-0.44,0.40975305
-0.45,0.40975064
-0.46,0.4097482
-0.47000000000000003,0.40974575
-0.48000000000000004,0.40974325
-0.49,0.40974075
-0.5,0.40973818
-0.51,0.40973562
-0.52,0.40973297
-0.53,0.40973032
-0.54,0.40972763
-0.55,0.40972492
-0.56,0.40972215
-0.5700000000000001,0.40971938
-0.5800000000000001,0.40971655
-0.59,0.4097137
-0.6,0.40971082
-0.61,0.4097079
-0.62,0.40970498
-0.63,0.409702
-0.64,0.40969896
-0.65,0.40969592
-0.66,0.40969282
-0.67,0.40968975
-0.68,0.40968663
-0.6900000000000001,0.40968347
-0.7000000000000001,0.40968025
-0.7100000000000001,0.40967703
-0.72,0.40967375
-0.73,0.40967044
-0.74,0.40966713
-0.75,0.40966374
-0.76,0.40966034
-0.77,0.40965694
-0.78,0.40965343
-0.79,0.40964997
-0.8,0.40964645
-0.81,0.40964288
-0.8200000000000001,0.4096393
-0.8300000000000001,0.40963566
-0.8400000000000001,0.40963203
-0.85,0.40962833
-0.86,0.40962464
-0.87,0.40962088
-0.88,0.40961713
-0.89,0.40961328
-0.9,0.40960944
-0.91,0.40960556
-0.92,0.40960166
-0.93,0.40959775
-0.9400000000000001,0.4095938
-0.9500000000000001,0.40958977
-0.9600000000000001,0.40958577
-0.97,0.40958172
-0.98,0.4095776
-0.99,0.4095735
-1.0,0.40956938
-1.01,0.40956518
-1.02,0.40956098
-1.03,0.40955675
-1.04,0.40955245
-1.05,0.40954816
-1.06,0.40954387
-1.07,0.40953952
-1.08,0.40953514
-1.09,0.40953076
