,z,t,theta_train,psi_train
0,60.0,0.1,0.4099,-0.225
1,60.0,0.2,0.4099,-0.449
2,60.0,0.3,0.4098,-0.668
3,60.0,0.4,0.4097,-0.879
4,60.0,0.5,0.4095,-1.083
5,60.0,0.6,0.4094,-1.279
6,60.0,0.7,0.4093,-1.469
7,60.0,0.8,0.4092,-1.656
8,60.0,0.9,0.4091,-1.836
9,60.0,1.0,0.409,-2.011
10,60.0,1.1,0.4089,-2.185
11,60.0,1.2,0.4087,-2.349
12,60.0,1.3,0.4086,-2.512
13,60.0,1.4,0.4085,-2.674
14,60.0,1.5,0.4084,-2.831
15,60.0,1.6,0.4083,-2.981
16,60.0,1.7,0.4082,-3.131
17,60.0,1.8,0.4081,-3.279
18,60.0,1.9,0.408,-3.427
19,60.0,2.0,0.4078,-3.568
20,60.0,2.1,0.4077,-3.705
21,60.0,2.2,0.4076,-3.84
22,60.0,2.3,0.4075,-3.975
23,60.0,2.4,0.4074,-4.11
24,60.0,2.5,0.4073,-4.242
25,60.0,2.6,0.4072,-4.372
26,60.0,2.7,0.4071,-4.499
27,60.0,2.8,0.407,-4.621
28,60.0,2.9,0.4069,-4.741
29,60.0,3.0,0.4068,-4.861
30,60.0,3.1,0.4067,-4.982
31,60.0,3.2,0.4066,-5.101
32,60.0,3.3,0.4065,-5.219
33,60.0,3.4,0.4064,-5.336
34,60.0,3.5,0.4063,-5.451
35,60.0,3.6,0.4062,-5.563
36,60.0,3.7,0.4061,-5.674
37,60.0,3.8,0.406,-5.782
38,60.0,3.9,0.4059,-5.889
39,60.0,4.0,0.4058,-5.995
40,60.0,4.1,0.4057,-6.101
41,60.0,4.2,0.4056,-6.207
42,60.0,4.3,0.4055,-6.311
43,60.0,4.4,0.4054,-6.415
44,60.0,4.5,0.4053,-6.518
45,60.0,4.6,0.4053,-6.62
46,60.0,4.7,0.4052,-6.721
47,60.0,4.8,0.4051,-6.822
48,60.0,4.9,0.405,-6.922
49,60.0,5.0,0.4049,-7.021
50,60.0,5.1,0.4048,-7.12
51,60.0,5.2,0.4047,-7.216
52,60.0,5.3,0.4046,-7.31
53,60.0,5.4,0.4045,-7.402
54,60.0,5.5,0.4045,-7.493
55,60.0,5.6,0.4044,-7.584
56,60.0,5.7,0.4043,-7.675
57,60.0,5.8,0.4042,-7.765
58,60.0,5.9,0.4041,-7.855
59,60.0,6.0,0.404,-7.945
60,60.0,6.1,0.404,-8.034
61,60.0,6.2,0.4039,-8.123
62,60.0,6.3,0.4038,-8.212
63,60.0,6.4,0.4037,-8.301
64,60.0,6.5,0.4036,-8.389
65,60.0,6.6,0.4035,-8.475
66,60.0,6.7,0.4035,-8.561
67,60.0,6.8,0.4034,-8.646
68,60.0,6.9,0.4033,-8.729
69,60.0,7.0,0.4032,-8.812
70,60.0,7.1,0.4031,-8.894
71,60.0,7.2,0.4031,-8.975
72,60.0,7.3,0.403,-9.056
73,60.0,7.4,0.4029,-9.135
74,60.0,7.5,0.4028,-9.214
75,60.0,7.6,0.4028,-9.291
76,60.0,7.7,0.4027,-9.368
77,60.0,7.8,0.4026,-9.445
78,60.0,7.9,0.4025,-9.521
79,60.0,8.0,0.4025,-9.597
80,60.0,8.1,0.4024,-9.673
81,60.0,8.2,0.4023,-9.749
82,60.0,8.3,0.4022,-9.824
83,60.0,8.4,0.4022,-9.899
84,60.0,8.5,0.4021,-9.973
85,60.0,8.6,0.402,-10.047
86,60.0,8.7,0.402,-10.121
87,60.0,8.8,0.4019,-10.194
88,60.0,8.9,0.4018,-10.267
89,60.0,9.0,0.4017,-10.34
90,60.0,9.1,0.4017,-10.412
91,60.0,9.2,0.4016,-10.484
