Stage,Epoch,Theta Loss,Grad Loss,Total Loss
Adam,0,0.022967482,0.6247997,17.731739
Adam,100,0.015380197,0.025950653,7.9496055
Adam,200,0.003950734,0.011512316,2.0904903
Adam,300,0.001576293,0.0037370974,0.8255175
Adam,400,0.0015793754,0.0025027245,0.8147149
Adam,500,0.0015812028,0.0018051972,0.8086534
Adam,600,0.0015821179,0.0013733,0.8047919
Adam,700,0.0015823012,0.0010886174,0.8020368
Adam,800,0.0015818086,0.0008924879,0.7998292
Adam,900,0.0015805922,0.00075324107,0.79782856
Adam,1000,0.0015784939,0.00065284426,0.79577535
Adam,1100,0.0015750946,0.0005815957,0.79336333
Adam,1200,0.0015601674,0.00059661246,0.78604984
Adam,1300,0.0014193021,0.00075887254,0.7172398
Adam,1400,0.0006680478,0.0005498376,0.33952227
Adam,1500,0.00013166635,0.00051120424,0.07094522
Adam,1600,5.1855583e-05,0.0005014384,0.030942176
Adam,1700,2.1816415e-05,0.00041439425,0.015052151
Adam,1800,9.04078e-06,0.0003314586,0.007834977
Adam,1900,3.9260203e-06,0.0002676048,0.0046390584
Adam,2000,2.0045434e-06,0.00021942878,0.0031965594
Adam,2100,1.2894865e-06,0.00018252099,0.0024699531
Adam,2200,9.929901e-07,0.00015383569,0.0020348518
Adam,2300,8.3926864e-07,0.00013136122,0.0017332464
Adam,2400,7.398869e-07,0.00011358762,0.0015058196
Adam,2500,6.657586e-07,9.931417e-05,0.001326021
Adam,2600,6.058223e-07,8.7644745e-05,0.0011793586
Adam,2700,5.549559e-07,7.794329e-05,0.0010569108
Adam,2800,5.1037733e-07,6.976338e-05,0.0009528225
Adam,2900,4.7041593e-07,6.278273e-05,0.00086303527
Adam,3000,4.340134e-07,5.676543e-05,0.00078466104
Adam,3100,4.0046393e-07,5.1532425e-05,0.0007155562
Adam,3200,3.6929785e-07,4.6947855e-05,0.00065412745
Adam,3300,3.4017907e-07,4.290545e-05,0.000599144
Adam,3400,3.128953e-07,3.9319402e-05,0.00054964167
Adam,3500,2.8728655e-07,3.6123372e-05,0.000504877
Adam,3600,2.6324773e-07,3.326071e-05,0.00046423095
Adam,3700,2.4070894e-07,3.0686704e-05,0.0004272215
Adam,3800,2.1961903e-07,2.8363505e-05,0.00039344456
Adam,3900,1.9994118e-07,2.6259097e-05,0.00036256155
Adam,4000,1.8165021e-07,2.4347695e-05,0.00033430205
Adam,4100,1.6472163e-07,2.2607013e-05,0.00030843093
