psi,theta,K,h
-0.01,0.42966914,0.97227234,0.01
-0.02,0.42966807,0.9617425,0.02
-0.03,0.42966682,0.9540123,0.03
-0.04,0.42966557,0.94766134,0.04
-0.05,0.42966413,0.9421673,0.05
-0.060000000000000005,0.42966264,0.9372702,0.060000000000000005
-0.06999999999999999,0.4296611,0.9328193,0.06999999999999999
-0.08,0.4296595,0.92871755,0.08
-0.09,0.42965782,0.92489886,0.09
-0.09999999999999999,0.42965603,0.9213153,0.09999999999999999
-0.11,0.42965418,0.917931,0.11
-0.12,0.42965233,0.9147186,0.12
-0.13,0.4296503,0.9116563,0.13
-0.14,0.42964834,0.90872645,0.14
-0.15000000000000002,0.42964625,0.9059146,0.15000000000000002
-0.16,0.4296441,0.90320885,0.16
-0.17,0.4296419,0.9005991,0.17
-0.18000000000000002,0.42963967,0.8980767,0.18000000000000002
-0.19,0.42963734,0.8956343,0.19
-0.2,0.429635,0.8932655,0.2
-0.21000000000000002,0.4296325,0.89096445,0.21000000000000002
-0.22,0.42963004,0.8887264,0.22
-0.23,0.42962748,0.88654697,0.23
-0.24000000000000002,0.42962486,0.8844223,0.24000000000000002
-0.25,0.42962217,0.8823487,0.25
-0.26,0.42961943,0.8803233,0.26
-0.27,0.42961663,0.87834316,0.27
-0.28,0.4296137,0.8764055,0.28
-0.29000000000000004,0.42961085,0.8745081,0.29000000000000004
-0.3,0.42960784,0.87264884,0.3
-0.31,0.42960477,0.8708259,0.31
-0.32,0.42960167,0.8690373,0.32
-0.33,0.42959845,0.8672814,0.33
-0.34,0.42959523,0.86555666,0.34
-0.35000000000000003,0.4295919,0.86386156,0.35000000000000003
-0.36000000000000004,0.42958853,0.862195,0.36000000000000004
-0.37,0.4295851,0.8605556,0.37
-0.38,0.42958158,0.8589422,0.38
-0.39,0.42957798,0.8573538,0.39
-0.4,0.4295743,0.85578924,0.4
-0.41000000000000003,0.42957062,0.854248,0.41000000000000003
-0.42000000000000004,0.42956683,0.8527286,0.42000000000000004
-0.43,0.429563,0.85123056,0.43
-0.44,0.42955905,0.849753,0.44
-0.45,0.42955506,0.84829533,0.45
-0.46,0.429551,0.84685665,0.46
-0.47000000000000003,0.4295469,0.8454364,0.47000000000000003
