psi,theta
-0.01,0.4299186
-0.02,0.42991662
-0.03,0.42991447
-0.04,0.4299122
-0.05,0.42990977
-0.060000000000000005,0.4299072
-0.06999999999999999,0.42990455
-0.08,0.42990172
-0.09,0.42989886
-0.09999999999999999,0.42989582
-0.11,0.42989272
-0.12,0.42988956
-0.13,0.42988628
-0.14,0.4298829
-0.15000000000000002,0.4298795
-0.16,0.42987594
-0.17,0.42987233
-0.18000000000000002,0.4298687
-0.19,0.42986488
-0.2,0.429861
-0.21000000000000002,0.4298571
-0.22,0.42985314
-0.23,0.4298491
-0.24000000000000002,0.42984495
-0.25,0.42984074
-0.26,0.42983648
-0.27,0.42983213
-0.28,0.42982775
-0.29000000000000004,0.42982328
-0.3,0.4298187
-0.31,0.42981407
-0.32,0.4298094
-0.33,0.42980468
-0.34,0.42979985
-0.35000000000000003,0.42979497
-0.36000000000000004,0.42979002
-0.37,0.429785
-0.38,0.42977992
-0.39,0.42977476
-0.4,0.42976955
-0.41000000000000003,0.42976427
-0.42000000000000004,0.4297589
-0.43,0.4297535
-0.44,0.429748
-0.45,0.42974246
-0.46,0.42973685
-0.47000000000000003,0.42973113
-0.48000000000000004,0.4297254
-0.49,0.42971957
-0.5,0.42971367
-0.51,0.4297077
-0.52,0.42970166
-0.53,0.4296956
-0.54,0.42968938
-0.55,0.42968315
-0.56,0.42967683
-0.5700000000000001,0.42967045
-0.5800000000000001,0.42966396
-0.59,0.42965743
-0.6,0.42965084
-0.61,0.42964414
-0.62,0.4296374
-0.63,0.42963058
-0.64,0.42962366
-0.65,0.42961675
-0.66,0.42960966
-0.67,0.4296025
-0.68,0.42959535
-0.6900000000000001,0.42958802
-0.7000000000000001,0.42958075
-0.7100000000000001,0.42957333
-0.72,0.4295658
-0.73,0.42955822
-0.74,0.4295506
-0.75,0.42954287
-0.76,0.42953506
-0.77,0.42952716
-0.78,0.4295192
-0.79,0.42951116
-0.8,0.42950308
-0.81,0.4294949
-0.8200000000000001,0.42948663
-0.8300000000000001,0.42947826
-0.8400000000000001,0.42946982
-0.85,0.4294613
-0.86,0.42945272
-0.87,0.42944407
-0.88,0.4294353
-0.89,0.4294265
-0.9,0.4294176
-0.91,0.42940864
-0.92,0.42939955
-0.93,0.4293904
-0.9400000000000001,0.42938116
-0.9500000000000001,0.42937186
-0.9600000000000001,0.42936248
-0.97,0.429353
-0.98,0.42934346
-0.99,0.4293338
-1.0,0.42932412
-1.01,0.42931435
-1.02,0.42930448
-1.03,0.42929453
-1.04,0.42928448
-1.05,0.42927438
-1.06,0.4292642
-1.07,0.4292539
-1.08,0.42924353
-1.09,0.4292331
-1.1,0.42922258
-1.11,0.42921197
-1.12,0.4292013
-1.1300000000000001,0.42919052
-1.1400000000000001,0.4291797
-1.1500000000000001,0.42916876
-1.1600000000000001,0.4291578
-1.17,0.4291467
-1.18,0.42913556
-1.19,0.4291243
-1.2,0.42911297
-1.21,0.4291016
-1.22,0.42909008
-1.23,0.42907858
-1.24,0.4290669
-1.25,0.4290552
-1.26,0.4290434
-1.27,0.42903155
-1.28,0.42901963
-1.29,0.4290076
-1.3,0.4289955
-1.31,0.4289833
-1.32,0.42897105
-1.33,0.4289587
-1.34,0.42894632
-1.35,0.42893386
-1.36,0.42892128
-1.37,0.42890865
-1.3800000000000001,0.42889595
-1.3900000000000001,0.42888314
-1.4000000000000001,0.42887032
-1.4100000000000001,0.4288574
-1.42,0.42884436
-1.43,0.42883128
-1.44,0.42881814
-1.45,0.42880493
-1.46,0.42879164
-1.47,0.42877823
-1.48,0.42876482
-1.49,0.42875132
-1.5,0.42873776
-1.51,0.4287241
-1.52,0.42871037
-1.53,0.42869657
-1.54,0.42868274
-1.55,0.42866883
-1.56,0.42865482
-1.57,0.42864078
-1.58,0.4286266
-1.59,0.42861247
-1.6,0.42859817
-1.61,0.42858386
-1.62,0.42856944
-1.6300000000000001,0.428555
-1.6400000000000001,0.42854047
-1.6500000000000001,0.42852592
-1.6600000000000001,0.42851126
-1.6700000000000002,0.42849654
-1.68,0.42848176
-1.69,0.42846692
-1.7,0.42845201
-1.71,0.42843705
-1.72,0.428422
-1.73,0.42840692
-1.74,0.42839178
-1.75,0.4283766
-1.76,0.42836133
-1.77,0.42834598
-1.78,0.4283306
-1.79,0.42831516
-1.8,0.42829967
-1.81,0.4282841
-1.82,0.4282685
-1.83,0.42825282
-1.84,0.42823708
-1.85,0.42822132
-1.86,0.4282055
-1.87,0.42818955
-1.8800000000000001,0.4281736
-1.8900000000000001,0.42815763
-1.9000000000000001,0.4281416
-1.9100000000000001,0.42812544
-1.9200000000000002,0.4281093
-1.93,0.42809308
-1.94,0.42807683
-1.95,0.42806047
-1.96,0.42804414
-1.97,0.4280277
-1.98,0.42801124
-1.99,0.42799473
-2.0,0.42797816
-2.01,0.42796153
-2.02,0.42794487
-2.03,0.42792815
-2.04,0.42791137
-2.05,0.4278946
-2.0599999999999996,0.42787772
-2.07,0.4278608
-2.0799999999999996,0.42784387
-2.09,0.42782685
-2.0999999999999996,0.42780983
-2.11,0.42779273
-2.1199999999999997,0.42777562
-2.13,0.42775843
-2.1399999999999997,0.4277412
-2.15,0.42772394
-2.1599999999999997,0.42770663
-2.17,0.42768925
-2.1799999999999997,0.4276719
-2.19,0.42765445
-2.1999999999999997,0.42763698
-2.21,0.42761943
-2.2199999999999998,0.42760187
-2.23,0.42758426
-2.2399999999999998,0.42756662
-2.25,0.42754894
-2.26,0.4275312
-2.27,0.42751342
-2.28,0.42749566
-2.29,0.42747778
-2.3,0.4274599
-2.31,0.427442
-2.32,0.427424
-2.3299999999999996,0.427406
-2.34,0.42738798
-2.3499999999999996,0.4273699
-2.36,0.42735177
-2.3699999999999997,0.42733365
-2.38,0.42731544
-2.3899999999999997,0.42729723
-2.4,0.42727897
-2.4099999999999997,0.4272607
-2.42,0.42724234
-2.4299999999999997,0.42722398
-2.44,0.42720556
-2.4499999999999997,0.42718714
-2.46,0.42716867
-2.4699999999999998,0.42715016
-2.48,0.42713165
-2.4899999999999998,0.42711303
-2.5,0.42709446
-2.51,0.4270758
-2.52,0.42705715
-2.53,0.4270384
-2.54,0.4270197
-2.55,0.4270009
-2.56,0.4269821
-2.57,0.42696327
-2.5799999999999996,0.42694438
-2.59,0.4269255
-2.5999999999999996,0.42690653
-2.61,0.42688757
-2.6199999999999997,0.4268686
-2.63,0.42684954
-2.6399999999999997,0.4268305
-2.65,0.4268114
-2.6599999999999997,0.4267923
-2.67,0.42677313
-2.6799999999999997,0.42675394
-2.69,0.42673475
-2.6999999999999997,0.4267155
-2.71,0.42669624
-2.7199999999999998,0.42667693
-2.73,0.42665762
-2.7399999999999998,0.42663825
-2.75,0.42661887
-2.76,0.42659944
-2.77,0.42657998
-2.78,0.42656052
-2.79,0.426541
-2.8,0.42652148
-2.81,0.42650193
-2.82,0.42648232
-2.8299999999999996,0.4264627
-2.84,0.42644307
-2.8499999999999996,0.4264234
-2.86,0.4264037
-2.8699999999999997,0.42638397
-2.88,0.42636424
-2.8899999999999997,0.42634445
-2.9,0.4263246
-2.9099999999999997,0.42630482
-2.92,0.42628494
-2.9299999999999997,0.42626506
-2.94,0.4262451
-2.9499999999999997,0.4262252
-2.96,0.42620522
-2.9699999999999998,0.42618522
-2.98,0.4261652
-2.9899999999999998,0.42614514
-3.0,0.42612508
-3.01,0.42610496
-3.02,0.42608485
-3.03,0.42606467
-3.04,0.42604452
-3.05,0.42602432
-3.06,0.42600408
-3.07,0.42598382
-3.08,0.42596355
-3.09,0.42594323
-3.0999999999999996,0.42592287
-3.11,0.42590255
-3.1199999999999997,0.42588216
-3.13,0.42586175
-3.1399999999999997,0.42584127
-3.15,0.4258209
-3.1599999999999997,0.42580038
-3.17,0.42577985
-3.1799999999999997,0.42575932
-3.19,0.4257388
-3.1999999999999997,0.42571825
-3.21,0.42569757
-3.2199999999999998,0.42567697
-3.23,0.42565632
-3.2399999999999998,0.42563564
-3.25,0.42561492
-3.26,0.4255942
-3.27,0.42557347
-3.28,0.42555267
-3.29,0.4255319
-3.3,0.42551106
-3.31,0.4254902
-3.32,0.4254693
-3.33,0.42544842
-3.34,0.4254275
-3.3499999999999996,0.42540655
-3.36,0.4253856
-3.3699999999999997,0.4253646
-3.38,0.42534357
-3.3899999999999997,0.42532253
-3.4,0.4253015
-3.4099999999999997,0.4252804
-3.42,0.4252593
-3.4299999999999997,0.42523816
-3.44,0.42521697
-3.4499999999999997,0.4251958
-3.46,0.4251746
