psi,theta,K,h
-0.01,0.40981185,4.41548,0.01
-0.02,0.4098106,4.411811,0.02
-0.03,0.40980917,4.408209,0.03
-0.04,0.40980744,4.4045753,0.04
-0.05,0.40980557,4.4008803,0.05
-0.060000000000000005,0.40980345,4.397111,0.060000000000000005
-0.06999999999999999,0.40980116,4.3932643,0.06999999999999999
-0.08,0.40979868,4.389338,0.08
-0.09,0.409796,4.385333,0.09
-0.09999999999999999,0.40979317,4.38125,0.09999999999999999
-0.11,0.40979022,4.37709,0.11
-0.12,0.40978706,4.372855,0.12
-0.13,0.40978378,4.3685474,0.13
-0.14,0.40978032,4.3641677,0.14
-0.15000000000000002,0.4097767,4.359719,0.15000000000000002
-0.16,0.40977296,4.355202,0.16
-0.17,0.40976906,4.3506184,0.17
-0.18000000000000002,0.409765,4.345971,0.18000000000000002
-0.19,0.40976077,4.3412614,0.19
-0.2,0.40975642,4.3364897,0.2
-0.21000000000000002,0.4097519,4.3316584,0.21000000000000002
-0.22,0.40974718,4.3267684,0.22
-0.23,0.4097424,4.3218226,0.23
-0.24000000000000002,0.4097374,4.3168206,0.24000000000000002
-0.25,0.40973228,4.3117642,0.25
-0.26,0.40972704,4.306656,0.26
-0.27,0.4097216,4.3014956,0.27
-0.28,0.40971598,4.296285,0.28
-0.29000000000000004,0.40971026,4.291025,0.29000000000000004
-0.3,0.40970436,4.285718,0.3
-0.31,0.4096983,4.280363,0.31
-0.32,0.40969205,4.2749634,0.32
-0.33,0.40968573,4.2695184,0.33
-0.34,0.40967917,4.264029,0.34
-0.35000000000000003,0.40967244,4.258498,0.35000000000000003
-0.36000000000000004,0.40966558,4.252925,0.36000000000000004
-0.37,0.40965855,4.247311,0.37
-0.38,0.40965134,4.2416577,0.38
-0.39,0.40964395,4.2359653,0.39
-0.4,0.4096364,4.230235,0.4
-0.41000000000000003,0.4096287,4.224467,0.41000000000000003
-0.42000000000000004,0.4096208,4.218663,0.42000000000000004
-0.43,0.40961272,4.2128234,0.43
-0.44,0.4096045,4.2069497,0.44
-0.45,0.4095961,4.201041,0.45
-0.46,0.40958744,4.1951003,0.46
-0.47000000000000003,0.40957868,4.1891265,0.47000000000000003
-0.48000000000000004,0.40956968,4.1831217,0.48000000000000004
-0.49,0.40956053,4.177086,0.49
-0.5,0.40955117,4.1710196,0.5
-0.51,0.4095416,4.1649237,0.51
-0.52,0.40953183,4.158799,0.52
-0.53,0.40952194,4.1526465,0.53
-0.54,0.4095118,4.1464663,0.54
-0.55,0.4095015,4.1402593,0.55
-0.56,0.40949094,4.1340265,0.56
-0.5700000000000001,0.40948024,4.1277676,0.5700000000000001
-0.5800000000000001,0.40946925,4.121484,0.5800000000000001
-0.59,0.40945816,4.1151752,0.59
-0.6,0.40944678,4.108843,0.6
-0.61,0.4094352,4.102488,0.61
-0.62,0.40942347,4.09611,0.62
-0.63,0.4094115,4.0897098,0.63
-0.64,0.40939927,4.0832887,0.64
-0.65,0.40938687,4.0768456,0.65
-0.66,0.40937427,4.070382,0.66
-0.67,0.4093614,4.0638995,0.67
-0.68,0.4093483,4.057397,0.68
-0.6900000000000001,0.409335,4.050875,0.6900000000000001
-0.7000000000000001,0.40932146,4.0443354,0.7000000000000001
-0.7100000000000001,0.40930772,4.037777,0.7100000000000001
-0.72,0.40929374,4.0312014,0.72
-0.73,0.40927953,4.024608,0.73
-0.74,0.4092651,4.0179987,0.74
-0.75,0.40925038,4.0113735,0.75
-0.76,0.4092355,4.004732,0.76
-0.77,0.40922034,3.9980757,0.77
-0.78,0.40920496,3.991404,0.78
-0.79,0.40918934,3.9847183,0.79
