psi,theta
-0.01,0.40988696
-0.02,0.40988445
-0.03,0.40988177
-0.04,0.40987873
-0.05,0.40987554
-0.060000000000000005,0.40987208
-0.06999999999999999,0.40986848
-0.08,0.40986466
-0.09,0.40986067
-0.09999999999999999,0.40985647
-0.11,0.4098521
-0.12,0.40984756
-0.13,0.4098429
-0.14,0.40983805
-0.15000000000000002,0.40983307
-0.16,0.4098279
-0.17,0.40982255
-0.18000000000000002,0.4098171
-0.19,0.4098115
-0.2,0.40980572
-0.21000000000000002,0.40979975
-0.22,0.40979373
-0.23,0.4097875
-0.24000000000000002,0.40978113
-0.25,0.4097746
-0.26,0.40976793
-0.27,0.40976113
-0.28,0.40975416
-0.29000000000000004,0.40974703
-0.3,0.40973973
-0.31,0.40973234
-0.32,0.40972477
-0.33,0.40971702
-0.34,0.40970916
-0.35000000000000003,0.40970114
-0.36000000000000004,0.40969294
-0.37,0.40968463
-0.38,0.4096761
-0.39,0.40966743
-0.4,0.40965864
-0.41000000000000003,0.40964964
-0.42000000000000004,0.40964052
-0.43,0.4096312
-0.44,0.40962172
-0.45,0.40961212
-0.46,0.4096023
-0.47000000000000003,0.40959236
-0.48000000000000004,0.40958223
-0.49,0.40957192
-0.5,0.40956143
-0.51,0.4095508
-0.52,0.40953997
-0.53,0.40952897
-0.54,0.40951782
-0.55,0.40950644
-0.56,0.4094949
-0.5700000000000001,0.4094832
-0.5800000000000001,0.40947133
-0.59,0.4094592
-0.6,0.40944695
-0.61,0.4094345
-0.62,0.40942186
-0.63,0.40940905
-0.64,0.40939602
-0.65,0.40938282
-0.66,0.4093694
-0.67,0.40935582
-0.68,0.409342
-0.6900000000000001,0.409328
-0.7000000000000001,0.40931383
-0.7100000000000001,0.40929943
-0.72,0.40928483
-0.73,0.40927005
-0.74,0.40925503
-0.75,0.40923983
-0.76,0.4092244
-0.77,0.40920877
-0.78,0.40919292
-0.79,0.40917692
-0.8,0.40916067
-0.81,0.4091442
-0.8200000000000001,0.40912753
-0.8300000000000001,0.4091106
-0.8400000000000001,0.4090935
-0.85,0.40907615
-0.86,0.40905863
-0.87,0.40904087
-0.88,0.40902287
-0.89,0.4090047
-0.9,0.4089862
-0.91,0.40896755
-0.92,0.40894866
-0.93,0.4089296
-0.9400000000000001,0.4089102
-0.9500000000000001,0.40889066
-0.9600000000000001,0.40887088
-0.97,0.4088509
-0.98,0.40883067
-0.99,0.40881017
-1.0,0.40878946
-1.01,0.4087685
-1.02,0.40874732
-1.03,0.40872592
-1.04,0.40870428
-1.05,0.4086824
-1.06,0.40866032
-1.07,0.408638
-1.08,0.4086154
-1.09,0.4085926
-1.1,0.40856957
-1.11,0.4085463
-1.12,0.40852275
-1.1300000000000001,0.40849903
-1.1400000000000001,0.408475
-1.1500000000000001,0.40845075
-1.1600000000000001,0.40842634
-1.17,0.4084016
-1.18,0.4083767
-1.19,0.40835154
-1.2,0.4083261
-1.21,0.40830046
-1.22,0.40827453
-1.23,0.40824842
-1.24,0.40822208
-1.25,0.40819547
-1.26,0.40816864
-1.27,0.40814155
-1.28,0.40811425
-1.29,0.4080867
-1.3,0.4080589
-1.31,0.40803087
-1.32,0.40800261
-1.33,0.40797415
-1.34,0.40794542
-1.35,0.40791646
-1.36,0.40788728
-1.37,0.40785784
-1.3800000000000001,0.40782815
-1.3900000000000001,0.40779832
-1.4000000000000001,0.4077682
-1.4100000000000001,0.40773785
-1.42,0.40770724
-1.43,0.40767646
-1.44,0.4076454
-1.45,0.4076141
-1.46,0.40758264
-1.47,0.4075509
-1.48,0.40751895
-1.49,0.4074868
-1.5,0.40745437
-1.51,0.40742177
-1.52,0.40738893
-1.53,0.40735584
-1.54,0.4073226
-1.55,0.40728906
-1.56,0.40725535
-1.57,0.40722138
-1.58,0.40718722
-1.59,0.40715286
-1.6,0.40711826
-1.61,0.40708345
-1.62,0.40704846
-1.6300000000000001,0.4070132
-1.6400000000000001,0.40697777
-1.6500000000000001,0.40694213
-1.6600000000000001,0.40690625
-1.6700000000000002,0.4068702
-1.68,0.40683395
-1.69,0.40679744
-1.7,0.40676075
-1.71,0.40672386
-1.72,0.40668675
-1.73,0.40664947
-1.74,0.40661198
-1.75,0.40657425
-1.76,0.4065364
-1.77,0.40649825
-1.78,0.40646
-1.79,0.4064215
-1.8,0.40638286
-1.81,0.406344
-1.82,0.40630493
-1.83,0.40626568
-1.84,0.40622628
-1.85,0.40618664
-1.86,0.40614682
-1.87,0.40610683
-1.8800000000000001,0.40606666
-1.8900000000000001,0.40602627
-1.9000000000000001,0.40598577
-1.9100000000000001,0.40594503
-1.9200000000000002,0.4059041
-1.93,0.40586305
-1.94,0.40582177
-1.95,0.40578035
-1.96,0.4057387
-1.97,0.40569693
-1.98,0.405655
-1.99,0.40561283
-2.0,0.4055705
-2.01,0.40552807
-2.02,0.40548542
-2.03,0.40544263
-2.04,0.40539962
-2.05,0.40535647
