Stage,Epoch,Theta Loss,Grad Loss,Total Loss
Adam,0,0.011675299,0.6247997,12.085647
Adam,100,0.008347196,0.024445783,4.4180555
Adam,200,0.005937941,0.009593207,3.0649025
Adam,300,0.005336292,0.004476425,2.7129104
Adam,400,0.0053407853,0.0028774121,2.6991665
Adam,500,0.0053408546,0.0020823716,2.691251
Adam,600,0.005337227,0.0016306489,2.68492
Adam,700,0.0053289765,0.001362278,2.678111
Adam,800,0.005312621,0.0012159855,2.6684704
Adam,900,0.005248569,0.0013319538,2.637604
Adam,1000,0.0039118496,0.0018134728,1.9740595
Adam,1100,0.0002758306,0.00053613965,0.14327669
Adam,1200,7.872214e-05,0.00068210805,0.046182152
Adam,1300,3.6970938e-05,0.00066066533,0.025092123
Adam,1400,2.0168587e-05,0.00056381145,0.015722409
Adam,1500,1.2950085e-05,0.00046708746,0.011145918
Adam,1600,9.637795e-06,0.00038632282,0.008682126
Adam,1700,7.870045e-06,0.00032217446,0.007156767
Adam,1800,6.722606e-06,0.0002721797,0.0060831
Adam,1900,5.853737e-06,0.00023331882,0.005260057
Adam,2000,5.1335646e-06,0.00020273801,0.004594162
Adam,2100,4.5055963e-06,0.00017818014,0.0040345993
Adam,2200,3.9420684e-06,0.00015804169,0.003551451
Adam,2300,3.4292593e-06,0.00014120975,0.0031267272
Adam,2400,2.9612188e-06,0.00012690062,0.0027496156
Adam,2500,2.535995e-06,0.00011456047,0.002413602
Adam,2600,2.1532458e-06,0.00010377754,0.0021143982
Adam,2700,1.8130053e-06,9.425253e-05,0.0018490279
Adam,2800,1.5152568e-06,8.576314e-05,0.0016152598
Adam,2900,1.2597607e-06,7.814934e-05,0.0014113737
Adam,3000,1.0453741e-06,7.129243e-05,0.0012356113
Adam,3100,8.697193e-07,6.510019e-05,0.0010858616
Adam,3200,7.292172e-07,5.949718e-05,0.0009595804
Adam,3300,6.195072e-07,5.4420136e-05,0.00085395493
Adam,3400,5.3576997e-07,4.981777e-05,0.0007660627
Adam,3500,4.7316112e-07,4.56476e-05,0.00069305656
Adam,3600,4.2709192e-07,4.1870055e-05,0.0006322465
Adam,3700,3.934842e-07,3.8449816e-05,0.0005812403
Adam,3800,3.6887374e-07,3.535328e-05,0.0005379697
Adam,3900,3.505011e-07,3.255065e-05,0.0005007571
Adam,4000,3.3631292e-07,3.0016126e-05,0.0004683177
Adam,4100,3.246918e-07,2.7724342e-05,0.00043958932
Adam,4200,3.145882e-07,2.5649286e-05,0.00041378697
Adam,4300,3.056524e-07,2.3771103e-05,0.00039053726
Adam,4400,2.9729398e-07,2.2067894e-05,0.00036932592
Adam,4500,2.907985e-07,2.0521544e-05,0.00035061472
Adam,4600,2.8546268e-07,1.9122317e-05,0.00033395452
Adam,4700,2.7006533e-07,1.7855311e-05,0.00031358577
Adam,4800,2.6103544e-07,1.6696287e-05,0.00029748058
Adam,4900,2.5211736e-07,1.5635254e-05,0.00028241123
L-BFGS-B,1,2.4303637e-07,1.46672955e-05,0.00026819116
L-BFGS-B,2,0.0044501736,7.4093105e-06,2.2251608
L-BFGS-B,3,2.4553333e-07,1.4654118e-05,0.00026930784
L-BFGS-B,4,2.429681e-07,1.4665429e-05,0.00026813833
L-BFGS-B,5,2.428402e-07,1.4661809e-05,0.0002680382
L-BFGS-B,6,2.4238219e-07,1.464836e-05,0.00026767468
L-BFGS-B,7,2.3847565e-07,1.4476676e-05,0.00026400457
L-BFGS-B,8,2.3382148e-07,1.4208145e-05,0.0002589922
L-BFGS-B,9,2.229996e-07,1.3475563e-05,0.00024625543
L-BFGS-B,10,1.9985038e-07,1.2029244e-05,0.00022021763
L-BFGS-B,11,1.8064888e-07,9.984019e-06,0.00019016463
L-BFGS-B,12,1.7816215e-07,9.337792e-06,0.000182459
L-BFGS-B,13,1.8166115e-07,9.060108e-06,0.00018143165
L-BFGS-B,14,1.8592199e-07,8.761912e-06,0.00018058011
L-BFGS-B,15,1.9095121e-07,8.405314e-06,0.00017952874
L-BFGS-B,16,1.9567133e-07,8.035396e-06,0.00017818963
L-BFGS-B,17,1.9952816e-07,7.4734116e-06,0.0001744982
L-BFGS-B,18,2.0269128e-07,6.3196258e-06,0.00016454191
L-BFGS-B,19,1.9616142e-07,5.6331432e-06,0.00015441215
L-BFGS-B,20,4.5866622e-07,3.8075939e-06,0.00026740905
L-BFGS-B,21,1.9696678e-07,5.2098485e-06,0.00015058188
L-BFGS-B,22,1.8500991e-07,4.7293884e-06,0.00013979884
L-BFGS-B,23,1.7350135e-07,4.588207e-06,0.00013263275
L-BFGS-B,24,1.750022e-07,4.284595e-06,0.00013034705
L-BFGS-B,25,1.7260469e-07,4.274009e-06,0.00012904243
L-BFGS-B,26,1.6908479e-07,4.2553575e-06,0.00012709596
L-BFGS-B,27,1.631654e-07,4.294302e-06,0.00012452572
L-BFGS-B,28,1.4035139e-07,4.574848e-06,0.00011592417
L-BFGS-B,29,1.0160762e-07,4.8787865e-06,9.959168e-05
L-BFGS-B,30,7.4033e-08,4.8172e-06,8.51885e-05
L-BFGS-B,31,7.1035686e-08,4.489186e-06,8.04097e-05
L-BFGS-B,32,6.576099e-08,4.457147e-06,7.7451965e-05
L-BFGS-B,33,6.4145375e-08,4.205081e-06,7.41235e-05
L-BFGS-B,34,6.266082e-08,3.872845e-06,7.005886e-05
L-BFGS-B,35,6.306346e-08,3.67386e-06,6.8270325e-05
L-BFGS-B,36,7.144754e-08,3.2564847e-06,6.828862e-05
L-BFGS-B,37,6.578928e-08,3.4446157e-06,6.73408e-05
L-BFGS-B,38,6.744169e-08,3.2260946e-06,6.598179e-05
L-BFGS-B,39,6.933596e-08,3.0954752e-06,6.5622735e-05
L-BFGS-B,40,7.000413e-08,3.0348717e-06,6.535078e-05
L-BFGS-B,41,7.128111e-08,2.963013e-06,6.527068e-05
L-BFGS-B,42,7.171901e-08,2.9376956e-06,6.5236454e-05
L-BFGS-B,43,7.230212e-08,2.906279e-06,6.5213855e-05
L-BFGS-B,44,7.263053e-08,2.8866132e-06,6.51814e-05
L-BFGS-B,45,7.394031e-08,2.8084905e-06,6.5055065e-05
L-BFGS-B,46,7.55129e-08,2.7038413e-06,6.479486e-05
L-BFGS-B,47,8.012538e-08,2.4307858e-06,6.437055e-05
L-BFGS-B,48,8.092513e-08,2.1870865e-06,6.2333434e-05
L-BFGS-B,49,1.2221213e-07,1.7037542e-06,7.814361e-05
L-BFGS-B,50,8.212556e-08,2.069407e-06,6.175685e-05
L-BFGS-B,51,1.0653961e-07,1.5336462e-06,6.860626e-05
L-BFGS-B,52,8.251079e-08,1.8419358e-06,5.967475e-05
L-BFGS-B,53,7.734044e-08,1.5317993e-06,5.3988213e-05
L-BFGS-B,54,6.720432e-08,1.239577e-06,4.5997927e-05
L-BFGS-B,55,8.398409e-06,5.2840534e-07,0.0042044884
L-BFGS-B,56,6.314655e-08,1.1573554e-06,4.314683e-05
L-BFGS-B,57,2.6338312e-06,5.3660875e-07,0.0013222817
L-BFGS-B,58,5.983604e-08,1.0784764e-06,4.0702784e-05
L-BFGS-B,59,8.1094555e-08,7.7754027e-07,4.8322683e-05
L-BFGS-B,60,5.6529476e-08,9.4537256e-07,3.7718462e-05
L-BFGS-B,61,5.1579782e-08,8.5444753e-07,3.4334367e-05
L-BFGS-B,62,4.091502e-07,6.1707385e-07,0.00021074584
L-BFGS-B,63,4.77673e-08,7.8089516e-07,3.16926e-05
L-BFGS-B,64,4.7125308e-08,6.9841e-07,3.0546755e-05
L-BFGS-B,65,4.576508e-08,6.941913e-07,2.9824454e-05
L-BFGS-B,66,4.50362e-08,6.825156e-07,2.9343255e-05
L-BFGS-B,67,4.4883578e-08,6.7341983e-07,2.9175988e-05
L-BFGS-B,68,4.495946e-08,6.6401503e-07,2.911988e-05
L-BFGS-B,69,4.489302e-08,6.59481e-07,2.904132e-05
L-BFGS-B,70,4.473757e-08,6.469693e-07,2.8838476e-05
L-BFGS-B,71,4.4362416e-08,6.448266e-07,2.8629474e-05
L-BFGS-B,72,4.4534232e-08,6.3344305e-07,2.8601547e-05
L-BFGS-B,73,4.4290825e-08,6.398205e-07,2.8543616e-05
